EntryDate,JournalId,AccountNo,DimAx1,AmtDebit,AmtCredit,Description,EntryNo,SeqNo,Year,Period,VoucherNo,VoucherDate,InvoiceId
2026-02-25T00:00:00Z,50,10442,,0,20250,Schoutenwerf B.V. /RAX510,183,13,2026,2,00056,2026-02-25T00:00:00Z,51002
2026-02-25T00:00:00Z,50,10452,,250,0,KESS CORPORATION N.V. /RAX472 - Teveel betaalde rente P02 2026,217,1,2026,2,00056,2026-02-25T00:00:00Z,47212
2026-02-24T00:00:00Z,50,10446,,0,20962.5,DANIEL INVESTMENTS BV /RAX455RD obo D.I. Daniel Investments bv - Beneluxlaan 9 Properties CV,216,2,2026,2,00055,2026-02-24T00:00:00Z,45502
2026-02-24T00:00:00Z,50,10456,,0,3333.33,PRST BV /C0028 RAX527 260224C002864001/,216,3,2026,2,00055,2026-02-24T00:00:00Z,47902
2026-02-24T00:00:00Z,50,10477,,0,2406.25,Knights Strategy B.V. /Interest payment february 2026 account RAX514 Knights Strategy Meeuwenlaam 92,181,13,2026,2,00055,2026-02-24T00:00:00Z,51402
2026-02-22T00:00:00Z,50,10447,,0,3333.33,GELDHOF MAKELAARDIJ BV /Omschrijving: RAX456RED - Rente Feb 2026. Jacob van Lennepstraat 49 Amsterdam,208,1,2026,2,00053,2026-02-22T00:00:00Z,45602
2026-02-19T00:00:00Z,50,10434,,0,5013.9,DERDENGELDEN CORE /Deelroyement RAX423 Ellermanstraatdos 20265676 nota 2026-3757,207,1,2026,2,00050,2026-02-19T00:00:00Z,42302
2026-02-19T00:00:00Z,50,10452,,0,14091.7,DERDENGELDEN CORE /Deelroyement RAX472 Kerkstraatdossier 20265676 nota 20263758,207,3,2026,2,00050,2026-02-19T00:00:00Z,47202
2026-02-12T00:00:00Z,50,10472,,0,18229.17,Prins Hendriksoord B.V.. /RAX505,164,1,2026,2,00043,2026-02-12T00:00:00Z,50501
2026-02-12T00:00:00Z,50,10472,,0,18229.17,Prins Hendriksoord B.V.. /RAX505,164,2,2026,2,00043,2026-02-12T00:00:00Z,50502
2026-02-10T00:00:00Z,50,10452,,0,22500,KESS CORPORATION N.V. /RAX472RED,172,1,2026,2,00041,2026-02-10T00:00:00Z,47212
2026-02-09T00:00:00Z,50,10473,,0,32788.34,Jorishof Ridderkerk C.V. /RAX507 202601 2602090000500001000001/,147,1,2026,2,00040,2026-02-09T00:00:00Z,50701
2026-02-06T00:00:00Z,50,10470,,0,2000,B.G.G. van Suijdam /Rax501red. Verlenging,168,1,2026,2,00037,2026-02-06T00:00:00Z,50101
2026-02-04T00:00:00Z,50,10438,,0,18010.42,W.H. Koster,167,1,2026,2,00035,2026-02-04T00:00:00Z,43501
2026-02-03T00:00:00Z,50,10470,,0,2100,Vast 'n Monument B.V. /Rax501red,166,1,2026,2,00034,2026-02-03T00:00:00Z,50101
2026-02-03T00:00:00Z,50,10464,,0,3562.5,SBS BOUWPROJECTEN B V /RAX492REDS/ Breestraat 45/51,166,2,2026,2,00034,2026-02-03T00:00:00Z,49201
2026-02-02T00:00:00Z,50,10434,,0,7916.67,TWO LANES BV /RAX423RED,164,3,2026,2,00033,2026-02-02T00:00:00Z,42301
2026-02-02T00:00:00Z,50,10432,,0,38750,Polderstaete B.V. /RAX415RED,164,2,2026,2,00033,2026-02-02T00:00:00Z,41501
2026-02-01T00:00:00Z,50,10465,,0,50000,Inproba Beheer B.V. /RAX493 Interest charges 1-2026,138,3,2026,2,00032,2026-02-01T00:00:00Z,49301
2026-02-01T00:00:00Z,50,10439,,0,9000,MERCATUM GRAVITAS B V /Rax Red III BV,160,1,2026,2,00032,2026-02-01T00:00:00Z,43601
2026-01-31T00:00:00Z,50,10444,,0,26485.25,By The River BV /billing statment januari 2026,159,2,2026,1,00031,2026-01-31T00:00:00Z,45001
2026-01-31T00:00:00Z,50,10441,,0,44387.5,ST DERDENGELDEN CONSULT /Leusden Holdings CV rente lening account no. RAX444REDperiode 01.2026,159,1,2026,1,00031,2026-01-31T00:00:00Z,44401
2026-01-30T00:00:00Z,50,10457,,0,82500,DUTCH INDUSTR PROP X /RAX482RED - 31/01/2026,158,13,2026,1,00030,2026-01-30T00:00:00Z,48201
2026-01-30T00:00:00Z,50,10454,,0,30000,Lekkerkerker O G Benschop B.V. /44655/20000386 31-01-2026 31-01-2026 januari 2026 1071 JP Amsterdam 44655P20000386.190.16321/,158,3,2026,1,00030,2026-01-30T00:00:00Z,47501
2026-01-30T00:00:00Z,50,10445,,0,50625,IHS Prime Retail I B.V.,158,2,2026,1,00030,2026-01-30T00:00:00Z,45201
2026-01-30T00:00:00Z,50,10466,,0,8750,Share Garages B.V. /rente afgelopen maand,158,10,2026,1,00030,2026-01-30T00:00:00Z,49501
2026-01-30T00:00:00Z,50,10461,,0,74783.33,INTOSPACE 19 BV /Aflossing jan 2026 - RAX488RED - Intospace 19 BV NONREF/,158,12,2026,1,00030,2026-01-30T00:00:00Z,48801
2026-01-30T00:00:00Z,50,10471,,0,46666.67,MEDIAN INVESTMENT BV /RAX504 paymentconcerning Pensmarkt Retail BV,136,7,2026,1,00030,2026-01-30T00:00:00Z,50401
2026-01-30T00:00:00Z,50,10443,,0,103333.33,Alblasserdam Yachtbuilding Construc /Invoice RAX449RED 31/01/2026 TBS01913/,158,8,2026,1,00030,2026-01-30T00:00:00Z,44901
2026-01-30T00:00:00Z,50,10475,,0,16666.67,CENTRAAL HUIZEN BEHEER /RAX511 NONREF/,136,4,2026,1,00030,2026-01-30T00:00:00Z,51101
2026-01-30T00:00:00Z,50,10460,,0,58758.33,INTOSPACE 39 BV /Aflossing jan 2026 - RAX488RED - Intospace 39 BV NONREF/,158,11,2026,1,00030,2026-01-30T00:00:00Z,488B01
2026-01-30T00:00:00Z,50,10477,,0,4812.5,Knights Strategy B.V. /RAX514,136,5,2026,1,00030,2026-01-30T00:00:00Z,51401
2026-01-30T00:00:00Z,50,10440,,0,137592.39,MRP SDK BV /Interest Jan26,158,4,2026,1,00030,2026-01-30T00:00:00Z,44001
2026-01-30T00:00:00Z,50,10445,,0,6250,IHS PRIME RETAIL 2 BV /RAX466RED,158,1,2026,1,00030,2026-01-30T00:00:00Z,46601
2026-01-30T00:00:00Z,50,10450,,0,28750,Van der Wiel Vastgoed 2 B.V. /Rente januari 2026,158,9,2026,1,00030,2026-01-30T00:00:00Z,46401
2026-01-29T00:00:00Z,50,10463,,0,43666.67,Halm Property A B.V. /RAX491RED,157,1,2026,1,00029,2026-01-29T00:00:00Z,49101
2026-01-29T00:00:00Z,50,10442,,0,20250,Schoutenwerf B.V. /RAX510,135,2,2026,1,00029,2026-01-29T00:00:00Z,51001
2026-01-29T00:00:00Z,50,10435,,0,70000,GALGENWAARD DEVELOPMENT /Rax 515 januari 2026 5748/,135,6,2026,1,00029,2026-01-29T00:00:00Z,51501
